ship_id,callsign,shipname,draught,imo,ais_type_summary,mmsi,speed,avg_speed,destination,distance_to_go,distance_travelled,eta,eta_calc,eta_updated,heading,lon,lat,max_speed,timestamp,utc_seconds,current_location,jenis_alert,track
1679,9HA3043,ODESSA,93,9633458,Tanker,229070000,138,12.9,FUJAIRAH,3119,214,2022-03-25T11:00:00Z,2022-03-25T20:49:00Z,NA,300,9892995,-4422503,13.7,2021-09-09T04:43:00Z,60,0101000020E61000000000004084BB5840000000A0A4B011C0,ALERT-HLD-ALKI,"LINESTRING(116.7634 -1.45742,116.7634 -1.457393,116.7632 -1.456562,116.7662 -1.453898,116.8736 -1.468198,117.0317 -1.450708,117.2237 -1.516573,117.2838 -1.565955,117.4703 -1.709573,117.5319 -1.761957,118.2715 -2.443712,118.2715 -2.443712,118.4166 -2.636672,118.4597 -2.751498,118.4818 -3.33002,118.0051 -4.07929,118.0051 -4.07929,117.5867 -4.709252,117.5867 -4.709252)"
1930,9HA3125,SEACHANCE,83,9314088,Tanker,229172000,129,12.4,MY PDI,0,14,2022-06-18T03:00:00Z,2022-06-18T02:50:00Z,NA,276,1057407,1418292,9.2,2021-09-27T23:01:00Z,17,0101000020E6100000000000A0676F5A400000000053B1F63F,ALERT-HLD-ALKI,"LINESTRING(116.7631 -1.457285,116.7626 -1.456152,116.7616 -1.455492,116.7557 -1.456822,116.7633 -1.464693,116.904 -1.47263,117.0661 -1.439398,117.2095 -1.429367,117.2282 -1.42919,117.3773 -1.426722,117.4162 -1.425307,117.7771 -1.408662,117.9296 -1.333958,117.9775 -1.310375,118.1941 -1.199545,118.348 -1.116418,118.9592 -0.300105,119.0015 -0.1448,119.0519 0.009838,119.1374 0.162167,119.1374 0.162167)"
690276,VRGQ8,JIA FOISON,114,9583603,Cargo,477925900,124,12.2,MARIVELES BATAAN,0,885,2022-06-10T13:00:00Z,2022-06-09T22:42:00Z,NA,10,1200383,7196173,13.5,2021-10-05T09:54:00Z,46,0101000020E61000000000008073025E40000000A0E1C81C40,ALERT-HLD-ALKI,"LINESTRING(115.7201 -3.963393,115.7205 -3.964147,115.7209 -3.964388,115.7301 -3.986112,116.6824 -5.342317,116.7201 -5.373542,117.0735 -5.261308,117.1048 -5.220503,117.1908 -5.09822,117.2508 -5.014337,117.2508 -5.014337)"
2673,9HA3361,SEASMILE,127,9632820,Cargo,229474000,144,15.1,NZAKL,2789,91,2022-06-08T03:00:00Z,2022-06-08T04:22:00Z,NA,99,1371421,-1008464,14.3,2021-09-21T17:48:00Z,7,0101000020E6100000000000208C246140000000E0552B24C0,ALERT-HLD-ALKI,"LINESTRING(115.0778 -5.946737,115.2451 -5.98035,115.478 -6.007272,115.6193 -6.029125,115.6991 -6.040647,116.1285 -6.092723,116.2005 -6.093438,116.4815 -6.13981,116.8006 -6.196483,116.9414 -6.217508,117.0211 -6.228977,117.516 -6.295633,117.516 -6.295633)"
2673,9HA3361,SEASMILE,127,9632820,Cargo,229474000,144,15.1,NZAKL,2789,91,2022-06-08T03:00:00Z,2022-06-08T04:22:00Z,NA,99,1371421,-1008464,14.3,2021-09-21T17:48:00Z,7,0101000020E6100000000000208C246140000000E0552B24C0,ALERT-HLD-ALKI,"LINESTRING(118.3869 -6.425647,118.2479 -6.406096,117.9192 -6.359026,117.7344 -6.337107,117.5039 -6.29938,117.3125 -6.263127,117.1203 -6.247745,116.9044 -6.214452,116.7292 -6.187105,116.5326 -6.15806,116.3211 -6.128843,116.1789 -6.106592,116.0523 -6.086401,115.8613 -6.060537,115.7566 -6.040522,114.6908 -5.892347,114.6908 -5.892347,113.826 -5.611969,113.5717 -5.494612,113.3761 -5.421407,113.1899 -5.346765,112.9955 -5.259485,112.8346 -5.185214,112.6493 -5.111784,112.44 -5.02144,112.44 -5.02144)"
2673,9HA3361,SEASMILE,127,9632820,Cargo,229474000,144,15.1,NZAKL,2789,91,2022-06-08T03:00:00Z,2022-06-08T04:22:00Z,NA,99,1371421,-1008464,14.3,2021-09-21T17:48:00Z,7,0101000020E6100000000000208C246140000000E0552B24C0,ALERT-HLD-ALKI,"LINESTRING(116.3854 -6.138173,116.5569 -6.161068,116.7674 -6.19223,116.9421 -6.215958,117.0626 -6.239622,117.2319 -6.256643,117.2319 -6.256643,118.4677 -6.436808,118.9314 -6.54216,119.9977 -7.039185,120.4219 -7.236814,120.7174 -7.377584,120.89 -7.455403,120.9477 -7.481535,121.3097 -7.599585,121.3097 -7.599585,121.5702 -7.638047,121.9994 -7.676693,121.9994 -7.676693)"
2824,9HA3412,"NAVIOS GALILEO",125,9326536,Cargo,229570000,119,7.1,SG SIN,1047,103,2022-06-21T08:00:00Z,2022-06-20T19:12:00Z,NA,241,1173617,-1670567,13.9,2021-10-05T02:27:00Z,46,0101000020E61000000000002026575D4000000080A4BAFABF,ALERT-HLD-ALKI,"LINESTRING(119.6465 5.117633,119.6343 4.964567,119.6363 4.854017,119.6207 4.2244,119.6165 4.149384,119.6117 3.806833,119.6117 3.806833,119.6129 3.564267,119.5702 2.925717,119.5516 2.758783,119.5121 2.5371,119.4896 2.367067,119.4595 2.180583,119.4351 2.024917,119.4123 1.932633,119.3342 1.6035,119.2972 1.4315,119.2623 1.216317,119.2273 1.049583,119.1441 0.88055,119.0153 0.768717,118.8842 0.658417,118.687 0.48525,118.6646 0.46425,118.6646 0.46425)"
144165,5BEN2,MCP SALZBURG,59,9383481,Cargo,212031000,105,10,SG PEBGA,1495,419,2022-06-17T10:00:00Z,2022-06-17T08:54:00Z,NA,292,1048292,1502413,14,2021-12-05T21:37:00Z,60,0101000020E6100000000000A011355A4000000040E209F83F,ALERT-HLD-ALKI,"LINESTRING(113.1286 -5.46392,113.3636 -5.565997,113.4791 -5.615472,113.7919 -5.748565,114.4993 -5.93513,114.4993 -5.93513,114.7446 -5.985348,116.5726 -6.658692,116.2583 -7.293833,116.1967 -7.442917,116.1967 -7.442917)"
144165,5BEN2,MCP SALZBURG,59,9383481,Cargo,212031000,105,10,SG PEBGA,1495,419,2022-06-17T10:00:00Z,2022-06-17T08:54:00Z,NA,292,1048292,1502413,14,2021-12-05T21:37:00Z,60,0101000020E6100000000000A011355A4000000040E209F83F,ALERT-HLD-ALKI,"LINESTRING(118.3499 -7.039958,118.3499 -7.039958,118.0241 -6.911356,117.7354 -6.81396,117.7354 -6.81396,117.5058 -6.743612,117.3629 -6.694407,117.3629 -6.694407,116.885 -6.53948,116.7562 -6.494637,116.5173 -6.41827,116.5173 -6.41827)"
144165,5BEN2,MCP SALZBURG,59,9383481,Cargo,212031000,105,10,SG PEBGA,1495,419,2022-06-17T10:00:00Z,2022-06-17T08:54:00Z,NA,292,1048292,1502413,14,2021-12-05T21:37:00Z,60,0101000020E6100000000000A011355A4000000040E209F83F,ALERT-HLD-ALKI,"LINESTRING(115.7704 -8.680337,115.8057 -8.586369,115.8461 -8.454752,115.9247 -8.226658,115.2343 -6.086858,114.1267 -5.867599,114.0179 -5.835565,114.0179 -5.835565)"
