MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367773370,2018-01-01T08:01:11Z,35.08478,-90.10912,0.2,322.5,511,WALT WEPFER,NA,WDJ3994,31,0,21,7,NA,0,A
367773370,2018-01-01T08:02:20Z,35.08475,-90.10913,1,194.8,511,WALT WEPFER,NA,WDJ3994,31,0,21,7,NA,0,A
367773370,2018-01-01T08:03:21Z,35.08415,-90.10913,3,201.9,511,WALT WEPFER,NA,WDJ3994,31,0,21,7,NA,0,A
367773370,2018-01-01T08:04:30Z,35.08261,-90.11096,6.9,237.9,511,WALT WEPFER,NA,WDJ3994,31,0,21,7,NA,0,A
367773370,2018-01-01T08:05:40Z,35.08145,-90.11332,6.8,240.3,511,WALT WEPFER,NA,WDJ3994,31,0,21,7,NA,0,A
367773370,2018-01-01T08:06:51Z,35.08038,-90.11576,6.8,243.8,511,WALT WEPFER,NA,WDJ3994,31,0,21,7,NA,0,A
367773370,2018-01-01T08:08:00Z,35.07939,-90.1181,6.8,241,511,WALT WEPFER,NA,WDJ3994,31,0,21,7,NA,0,A
367773370,2018-01-01T08:09:11Z,35.07841,-90.120590000000007,6.8,248.4,511,WALT WEPFER,NA,WDJ3994,31,0,21,7,NA,0,A
367773370,2018-01-01T08:10:21Z,35.07742,-90.12307,7,240.1,511,WALT WEPFER,NA,WDJ3994,31,0,21,7,NA,0,A
367773370,2018-01-01T08:11:31Z,35.07679,-90.12562,6.8,262.6,511,WALT WEPFER,NA,WDJ3994,31,0,21,7,NA,0,A
367171010,2018-01-01T01:00:08Z,30.01338,-90.75754,5.5,92.2,511,ED,NA,WDD6296,31,0,15,6,NA,31,A
367171010,2018-01-01T01:01:19Z,30.01331,-90.75716,0,333.4,511,ED,NA,WDD6296,31,0,15,6,NA,31,A
367773370,2018-01-01T08:12:40Z,35.07739,-90.12603,5.1,65.3,511,WALT WEPFER,NA,WDJ3994,31,0,21,7,NA,0,A
